sequence,length,dedup_strategy,task_role,label_source_mode,is_from_merged_backbone,contains_merged,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_count,record_count_total,row_count_after_filter,source_db_set,source_table_set,source_file_set,origin_source_set,high_confidence_flag,conflict_flag,tier_23,raw_record_ids,citation_ids,notes
IG,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,1200.0,20000.0,1200.0,1200.0,16.666666666666668,3,5,3,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000305 | ace_merged_000306 | ace_merged_000307 || 1478 | 6581 | 7595 || biopep_ace_000199 || 7595 || 6581,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7595,source_count=2; spread_ratio=16.6667 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1478; 1683; 3020; 3107; 3109; 3564; 3799; 3857; 3950; 4426; 4505; 6581 BindingDB: ID 50407434 BioPepDB: ID biopep00511 BIOPEP-UWM database of sensory peptides and amino acids: ID 164 ChEBI: ID 74066 ChEMBL: ID CHEMBL301979 ChemSpider: ID 5360987 EROP-Moscow: ID E10391 FeptideDB: ID 7595 J-GLOBAL: ID 200907055232808135 Metabolights: ID MTBLC133641 Metabolomics Workbench: ID 71880 Nikkaji: ID J265.924G PubChem: ID 6992869 SATPdb: ID satpdb14233 SureChEMBL: ID SCHEMBL8728266 ZINC: ID ZINC000001590840 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit
IL,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,54.95,20000.0,10027.475,10027.475,363.96724294813464,2,3,2,,,,merged_short23_tiered_standardized || biopep_core_standardized,False,False,Tier D,ace_merged_000308 | ace_merged_000309 || 1438 | 9079 || biopep_ace_000376 || 9079,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9079,source_count=2; spread_ratio=363.9672 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1438; 3860; 5410 BindingDB: ID 50282190 BioPepDB: ID biopep00542 BIOPEP-UWM database of bioactive peptides: ID 8323; 8802 BIOPEP database of sensory peptides and amino acids: ID 194 BRENDA: Ligand Ile-Ieu ChEBI: ID 74072 ChEMBL: ID CHEMBL48832 ChemSpider: ID 5382050 EPA CompTox: ID DTXSID00427071 EPA DSSTox: ID DTXCID40377905 EROP-Moscow: ID E10605 J-GLOBAL: ID 200907038945135805 Metabolights: ID MTBLC74072 Nikkaji: ID J1.013.425K PubChem: ID 7019083 SATPdb: ID satpdb25152 SureChEMBL: ID SCHEMBL3010040 ZINC: ID ZINC02556613 || BIOPEP-UWM
IP,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,130.0,20000.0,130.0,130.0,153.84615384615384,4,7,4,,,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000310 | ace_merged_000311 | ace_merged_000312 | ace_merged_000313 || 1501 | 6567 | 7581 | MBPDB_P02769_IP_321-322 || biopep_ace_000185 || 7581 || mbpdb_ace_000002 || MBPDB_P02769_IP_321-322 || 6567,10.1016/j.foodchem.2014.01.056 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7581,"source_count=3; spread_ratio=153.8462 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | MBPDB || AHTPDB: ID 1501, 3018, 3075, 3220, 3352, 3418, 3500, 3565, 3788, 3862, 3952, 4443, 4494, 4673, 5865, 6567 BindingDB: ID 50348850 BioPepDB: ID biopep00554 BIOPEP-UWM database of bioactive peptides: ID 8501 BIOPEP-UWM database of sensory peptides and amino acids: ID 489 BRENDA: Ligand Ile-Pro ChEBI: ID 74076 ChEMBL: ID CHEMBL1807684 ChemSpider: ID 392673 EPA CompTox: ID DTXSID70332168 EPA DSSTox: ID DTXCID70283262 EROP-Moscow: ID E09205 FeptideDB: ID 7581; 8501 HMDB: ID HMDB0011174 J-GLOBAL: ID 200907051126439176 MBPDB: peptide IP Metabolights: ID MTBLC74076 Nikkaji: ID J608.440K PlantPepDB: ID PPepDB_3826 PubChem: CID 444876 SATPdb: ID satpdb19409 SureChEMBL: ID SCHEMBL231857 ZINC: ID ZINC000001591038 || BIOPEP-UWM || Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Serum albumin || small || exact_molar_value || not_converted: ic50_type不是mass_unit"
IR,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,695.0,20000.0,20000.0,20000.0,28.776978417266186,2,4,2,,,,merged_short23_tiered_standardized || mbpdb_core_standardized,False,False,Tier D,ace_merged_000314 | ace_merged_000315 | ace_merged_000316 || 1433 | 1508 | MBPDB_P02754_IR_163-164 || mbpdb_ace_000094 || MBPDB_P02754_IR_163-164,10.3168/jds.S0022-0302(04)70013-2,source_count=2; spread_ratio=28.7770 || multi-source evidence but conflicting IC50 range || AHTPDB | MBPDB || Structural Analysis of a New Anti-Hypertensive Peptide (β-Lactosin B) Isolated from a Commercial Whey Product || Bos taurus || Beta-lactoglobulin
IW,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,0.7,20000.0,4.7,4.7,28571.428571428572,5,34,15,,,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000317 | ace_merged_000318 | ace_merged_000319 | ace_merged_000320 | ace_merged_000321 | ace_merged_000322 | ace_merged_000323 | ace_merged_000324 | ace_merged_000325 | ace_merged_000326 | ace_merged_000327 | ace_merged_000328 | ace_merged_000329 | ace_merged_000330 | ace_merged_000331 | ace_merged_000332 | ace_merged_000333 | ace_merged_000334 | ace_merged_000335 || 1074 | 1085 | 1444 | 1460 | 1468 | 1859 | 2028 | 2214 | 2847 | 4255 | 5155 | 6160 | 6264 | 6272 | 6531 | 7544 | FMDB1985 | FMDB1992 | MBPDB_P00711_IW_78-79 || biopep_ace_000167 || 7544 || mbpdb_ace_000255 || MBPDB_P00711_IW_78-79 || fermfoodb_ace_000758 | fermfoodb_ace_000765 || FMDB1985 | FMDB1992 || 1074 || 1085 || 1859 || 2028 || 2847 || 4255 || 5155 || 6160 || 6264 || 6272 || 6531,10.1016/j.idairyj.2015.09.004 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7544 || 12358510 || Fish (Dried Bonito) || Fish (Salmon) || Wakame || Fish (Sardine) || Synthesized || Wakame (Undaria pinnatifida) || Fish (Salmon (Oncorhynchus keta)) || Fish (Salmon muscle),"source_count=4; spread_ratio=28571.4286 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb | MBPDB || AHTPDB: ID 1074; 1085; 1444; 1460; 1468; 1859; 2028; 2214; 2779; 2788; 2847; 2882; 3343; 3503; 3567; 3780; 3863; 3961; 4227; 4237; 4255; 4451; 4486; 4649; 4958; 4959; 5155; 6160; 6264; 6272; 6531; 6880 BindingDB: ID 50407421 BioPepDB: ID biopep00616 BIOPEP-UWM database of bioactive peptides: ID 8807 BIOPEP-UWM database of sensory peptides and amino acids: ID 346 BRENDA: Ligand L-Ile-L-Trp ChEBI: ID 74080 ChEMBL: ID CHEMBL56923 ChemSpider: ID 5382052 EROP-Moscow: ID E01434 J-GLOBAL: ID 200907081268045678 Metabolights: ID MTBLC74080 Nikkaji: ID J587.917E OLSVis: ID CHEBI:74080 PubChem: ID 7019084 SATPdb: ID satpdb20183 SureChEMBL: ID SCHEMBL3512696 ZINC: ID ZINC02556614 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1985 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1992 || BIOPEP-UWM || Tryptophan-containing dipeptides are bioavailable and inhibit plasma human angiotensin-converting enzyme in vivo || Bos taurus || Alpha-lactalbumin || within_range_consistent || spread_ratio=1.0000 || Ace-inhibitory || Spectrophotometric assay using HHL as substate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Yamamoto and others || HPLC, RP-HPLC || RP-HPLC || Cushman and Cheung (1971) || RP-HPLC, LC-MS || Yamamoto et al. || GFC, RP-HPLC, HIC || GFC, IEC, RP-HPLC"
IY,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,2.1,20000.0,5.05,5.05,9523.809523809523,4,60,25,,,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000336 | ace_merged_000337 | ace_merged_000338 | ace_merged_000339 | ace_merged_000340 | ace_merged_000341 | ace_merged_000342 | ace_merged_000343 | ace_merged_000344 | ace_merged_000345 | ace_merged_000346 | ace_merged_000347 | ace_merged_000348 | ace_merged_000349 | ace_merged_000350 | ace_merged_000351 | ace_merged_000352 | ace_merged_000353 | ace_merged_000354 | ace_merged_000355 | ace_merged_000356 | ace_merged_000357 | ace_merged_000358 | ace_merged_000359 | ace_merged_000360 | ace_merged_000361 | ace_merged_000362 | ace_merged_000363 | ace_merged_000364 | ace_merged_000365 | ace_merged_000366 | ace_merged_000367 | ace_merged_000368 | ace_merged_000369 || 1070 | 1098 | 1348 | 1353 | 1373 | 1377 | 1411 | 1440 | 1495 | 1510 | 1818 | 1855 | 1903 | 1934 | 1948 | 2583 | 2734 | 2956 | 3383 | 4248 | 4253 | 4259 | 5156 | 5661 | 6140 | 6143 | 6176 | 6263 | 6268 | 6282 | 6367 | FMDB1010 | FMDB1981 | FMDB1988 || biopep_ace_000077 || 3383 || fermfoodb_ace_000397 | fermfoodb_ace_000754 | fermfoodb_ace_000761 || FMDB1010 | FMDB1981 | FMDB1988 || 1070 || 1098 || 1818 || 1855 || 1903 || 1934 || 1948 || 2583 || 2734 || 2956 || 4248 || 4253 || 4259 || 5156 || 5661 || 6140 || 6143 || 6176 || 6263 || 6268 || 6282 || 6367,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3383 || 12358510 || Fish (Dried Bonito) || Fish (Sardine) || Wakame Seaweed || Wakame || Cereals (Rice-koji) || Cereals (Wheat bran) || Rapeseed || Cereals (rice) || Rapeseed protein-derived peptides || Rapeseed protein || Wakame (Undaria pinnatifida) || Fish (Bonito (Sarda - dried bonito (katsuobusi))) || Rapeseed (Brassica napus) || Cereals (Rice (Oryza sativa red-mold rice)) || Fish (Sardine (Sardina pilchardus muscle)) || Cereals (Wheat (Triticum aestivum wheat bran)) || Fish (Sardine muscle),"source_count=3; spread_ratio=9523.8095 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || AHTPDB: ID 1070; 1098; 1150, 1287, 1348, 1353, 1373, 1377, 1411, 1440, 1495, 1510, 1818, 1855, 1903, 1934, 1948, 2583, 2734, 2778, 2956, 2988, 2992, 3064, 3166, 3171, 3197, 3504, 3781, 3962, 4083, 4226, 4248, 4253, 4259, 4450, 4487, 4652, 4947, 4955, 4956, 4957, 5156, 5598, 5661, 6140, 6143, 6176, 6263, 6268, 6282, 6367, 6879 Binding DB: ID 50038069 BioPepDB: ID biopep00619 BIOPEP-UWM database of bioactive peptides: ID 7873 BRENDA: Ligand Ile-Tyr ChEBI: ID 74326 ChEMBL: ID CHEMBL91090 ChemSpider: ID 5730945 EROP-Moscow: ID E01439 FeptideDB: ID 3383; 7873 J-GLOBAL: ID 200907037450857360 Metabolights: ID MTBLC74326 Metabolomics Workbench: ID 71683 Nikkaji: ID J535.351C PlantPepDB: ID PPepDB_3792 PubChem: CID 7408194 SATPdb: ID satpdb18728 SureChEMBL: ID SCHEMBL4261778 ZINC: ID ZINC000004899517 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1010 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1981 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1988 || BIOPEP-UWM || within_range_consistent || spread_ratio=1.5250 || Ace-inhibitory || Angiotensin I-converting enzyme inhibitory peptides in red-mold rice made by Monascus purpureus || Spectrophotometric assay using HHL as substate | Spectrophotometric assay using HHL as substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC || 2,4,6-trinitrobenzene sulfonate(TNBS) method || RP-GPC, HPLC || IEC, SEC, RPC || RP-HPLC, LC-MS || Modified Lieberman’s method || RPC, SEC, RP-HPLC || Cushman and Cheung (1971), Yamamoto and others || CC || RP-HPLC || MALDI-TOF-MS, HPLC || Holmquist et al. (1979) || GPC, RP-HPLC || Yamamoto et al. || RP-HPLC, HIC || GFC, IEC, RP-HPLC || IEC, RP-HPLC, HIC"
KA,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,31.5,31.5,31.5,31.5,1.0,3,8,5,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier B,ace_merged_000370 | ace_merged_000371 | ace_merged_000372 | ace_merged_000373 || 5157 | 6113 | 6691 | 7743 || biopep_ace_000235 || 7743 || 5157 || 6113 || 6691,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7743 || Pork (Sus domesticus skeletal muscle) || Porcine muscle,"source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1700, 2991, 3029, 3052, 3067, 3170, 3174, 3275, 3321, 3435, 3505, 3829, 3964, 4436, 4535, 4675, 5157, 6113, 6691 BindingDB: ID 50169138 BioPepDB: ID biopep00660 BIOPEP-UWM database of bioactive peptides: ID 3174; 9511 BRENDA: Ligand Lys-Ala ChEBI: ID 61872 ChEMBL: ID CHEMBL93178 ChemSpider: ID 5374071 EPA CompTox: ID DTXSID20426662 EPA DSSTox: ID DTXCID50377496 EROP-Moscow: ID E09228; E14731 FeptideDB: ID 3174; 7743 FooDB: ID FDB111967 HMDB: ID HMDB0028944 J-GLOBAL: ID 200907026921821335 Nikkaji: ID J82.576J PlantPepDB: ID PPepDB_2919 PubChem: ID 7010504 SATPdb: ID satpdb16222 SureChEMBL: ID SCHEMBL1641741 ZINC: ID ZINC000002390920 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Sentandreu and Toldra (2006)"
KF,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,28.3,20000.0,28.3,28.3,706.7137809187279,3,12,6,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000375 | ace_merged_000376 | ace_merged_000377 | ace_merged_000378 | ace_merged_000379 | ace_merged_000380 | ace_merged_000381 || 1447 | 1456 | 2850 | 5158 | 6259 | 6678 | 7692 || biopep_ace_000232 || 7692 || 2850 || 5158 || 6259 || 6678,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7692 || Synthesized || Wakame (Undaria pinnatifida),"source_count=2; spread_ratio=706.7138 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || ACToR: ID 6235-35-4 AHTPDB: ID 1447; 1456; 2673; 2774; 2850; 3010; 3040; 3269; 3318; 3433; 3507; 3966; 4737; 5158; 5424; 6259; 6678; 6875 BindingDB: ID 50049726 BioPepDB: ID biopep00670 BIOPEP-UWM database of bioactive peptides: ID 8248; 8249; 8809 BIOPEP-UWM database of sensory peptides and amino acids: ID 56 BRENDA: Ligand Lys-Phe ChEBI: ID 73605 ChEMBL: ID CHEMBL3321994 ChemIdPlus: ID 6235-35-4 ChemSpider: ID 133442 EROP-Moscow: ID E10439 J-Global: ID 200907094343429899 Metabolights: ID MTBLC73605 Nikkaji: ID J231.730C PubChem: CID 151410 SATPdb: ID satpdb29026 SureChEMBL: ID SCHEMBL1374146 ZINC: ID ZINC02522657 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || GFC, IEC, RP-HPLC"
KG,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,3200.0,20000.0,3200.0,3200.0,6.25,3,5,3,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier B,ace_merged_000382 | ace_merged_000383 | ace_merged_000384 || 1482 | 6590 | 7604 || biopep_ace_000208 || 7604 || 6590,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7604,source_count=2; spread_ratio=6.2500 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1482; 3079; 3177; 3237; 3312; 3508; 3808; 3967; 4418; 4514; 4671; 6590 BindingDB: ID 50188483 BIOPEP database of bioactive peptides: ID 8810 BIOPEP database of sensory peptides and amino acids: ID 365; 366 BRENDA: Ligand Lys-Gly ChEBI: ID 73604 ChEMBL: ID CHEMBL91561 ChemSpider: ID 5385198 EROP-Moscow: ID E10394 PubChem: ID 7022320 SATPdb: ID satpdb28987 ZINC: ID ZINC02579078 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit
KL,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,50.2,50.2,50.2,50.2,1.0,2,2,2,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,False,False,Tier C,ace_merged_000386 || 6679,,only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit
KP,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,22.0,20000.0,10011.0,10011.0,909.0909090909091,2,9,4,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,False,False,Tier C,ace_merged_000387 | ace_merged_000388 | ace_merged_000389 | ace_merged_000390 | ace_merged_000391 | ace_merged_000392 || 1435 | 1471 | 1514 | 5159 | 5640 | 6713 || 5159 || 5640 || 6713,Anchovy (sauce) || Fish (Fermented fish sauce),"source_count=1; spread_ratio=909.0909 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || GFC, IEC, RP-HPLC"
KR,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,380.0,380.0,380.0,380.0,1.0,3,4,3,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier B,ace_merged_000393 | ace_merged_000394 || 6572 | 7586 || biopep_ace_000190 || 7586 || 6572,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7586,source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit
KW,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,1.63,20000.0,9.3,9.3,12269.938650306749,3,14,7,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000395 | ace_merged_000396 | ace_merged_000397 | ace_merged_000398 | ace_merged_000399 | ace_merged_000400 | ace_merged_000401 | ace_merged_000402 || 1359 | 1454 | 2834 | 3386 | 5160 | 6178 | 6257 | 6370 || biopep_ace_000080 || 3386 || 2834 || 5160 || 6178 || 6257 || 6370,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3386 || Synthesized || Fish (Sardine (Sardina pilchardus muscle)) || Wakame (Undaria pinnatifida) || Fish (Sardine muscle),"source_count=2; spread_ratio=12269.9387 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC || GFC, IEC, RP-HPLC"
KY,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,1.63,20000.0,7.7,7.7,12269.938650306749,2,13,7,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,False,False,Tier C,ace_merged_000403 | ace_merged_000404 | ace_merged_000405 | ace_merged_000406 | ace_merged_000407 | ace_merged_000408 | ace_merged_000409 || 1105 | 1455 | 1816 | 4257 | 5161 | 6258 | 6677 || 1105 || 1816 || 4257 || 5161 || 6258 || 6677,Fish (Sardine) || Wakame Seaweed || Wakame (Undaria pinnatifida),"source_count=1; spread_ratio=12269.9387 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || 2,4,6-trinitrobenzene sulfonate(TNBS) method || RP-GPC, HPLC || Cushman and Cheung (1971) || IEC, SEC, RPC || GFC, IEC, RP-HPLC"
LA,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,310.0,310.0,310.0,310.0,1.0,3,4,3,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier B,ace_merged_000410 | ace_merged_000411 || 6571 | 7585 || biopep_ace_000189 || 7585 || 6571,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7585,"source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || ACToR: ID 21369-94-8 AHTPDB: ID 3224, 3308, 3513, 3569, 3595, 3828, 3852, 3973, 4437, 4534, 4672, 6571 BindingDB: ID 50407466 BioPepDB: ID biopep00725 BIOPEP-UWM database of bioactive peptides: ID 3175; 4006; 9499 BIOPEP-UWM database of sensory peptides and amino acids: ID 466 BRENDA: Ligand Leu-Ala ChEBI: ID 73527 ChemBank: ID KBio3_002789; SPBio_001517; Spectrum2_001499; Spectrum3_001934 ChEMBL: ID CHEMBL541207 ChemIDplus: ID 007298842 ChemSpider: ID 73739 EROP-Moscow: ID E06287 J-GLOBAL: ID 200907083420885213 Nikkaji: ID J81.361C PubChem: ID 81721 SATPDB: ID satpdb13367 SureChEMBL: ID SCHEMBL259116 ZINC: ID ZINC01569727 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit"
LF,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,349.0,20000.0,349.1,349.1,57.306590257879655,4,11,5,,,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier D,ace_merged_000412 | ace_merged_000413 | ace_merged_000414 | ace_merged_000415 | ace_merged_000416 | ace_merged_000417 | ace_merged_000418 || 1330 | 1388 | 1415 | 1432 | 3551 | 6466 | MBPDB_P02754_LF_120-121 || biopep_ace_000136 || 3551 || mbpdb_ace_000077 || MBPDB_P02754_LF_120-121 || 1330 || 6466,10.1515/bchm3.1996.377.4.259 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3551 || Alpha-Lactoglobulin || Milk,source_count=3; spread_ratio=57.3066 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | MBPDB || AHTPDB: ID 1161; 1330; 1388; 1415; 1432; 1675; 2687; 3165; 3209; 3302; 3514; 3600; 3854; 3976; 4086; 4473; 5454; 5602; 5711; 5777; 6466 BIOPEP-UWM database of bioactive peptides: ID 8313 BIOPEP-UWM database of sensory peptides and amino acids: ID 52 BRENDA: Ligand Leu-Phe CAS: Registry No 3063-05-6 CCDC: ID COCGOQ ChEBI: ID 73585 ChEMBL: ID CHEMBL54936 ChemSpider: ID 5360450 COCONUT: ID CNP0118564.1 eMolecules: ID 8294077 EPA CompTox: ID DTXSID501036415 EROP-Moscow: ID E01831 FooDB: ID FDB111642 HMDB: ID HMDB0013243 J-GLOBAL: ID 200907004967555318 MetaboLights: ID MTBLC73585 Metabolomics Workbench: ID ME015586 Nikkaji: ID J80.629C NMRShiftDB: ID 60023474 PlantPepDB: ID PPepDB_3721 Probes And Drugs: ID PD101959 PubChem: ID 6992310 SATPdb: ID satpdb28695 SureChEMBL: ID SCHEMBL1864709 Wikidata: ID Q27141902 ZINC: ID ZINC000001569745 || BIOPEP-UWM || Synthetic Peptides Corresponding to α-Lactalbumin and β-Lactoglobulin Sequences with Angiotensin-l-Converting Enzyme Inhibitory Activity || Bos taurus || Beta-lactoglobulin || small || exact_molar_value || not_converted: ic50_type不是mass_unit
LG,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,8800.0,20000.0,8800.0,8800.0,2.272727272727273,3,5,3,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,Tier B,ace_merged_000419 | ace_merged_000420 | ace_merged_000421 || 1489 | 6606 | 7619 || biopep_ace_000223 || 7619 || 6606,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7619,source_count=2; spread_ratio=2.2727 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1489; 3045; 3051; 3086; 3132; 3134; 3136; 3251; 3355; 3426; 3515; 3822; 3851; 3977; 4401; 4528; 4654; 5406; 6606 BindingDB: ID 50407456 BIOPEP database of sensory peptides and amino acids: ID 161 BRENDA: Ligand Leu-Gly ChEBI: ID 74534 ChEMBL: ID CHEMBL55711 ChemIDplus: ID 000686500 ChemSpider: ID 87882 EROP-Moscow: ID E01614 PubChem: ID 97364 ZINC: ID ZINC02164045 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit
LP,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,117.8,117.8,117.8,117.8,1.0,2,2,2,,,,merged_short23_tiered_standardized || biopep_core_standardized,False,False,Tier C,ace_merged_000423 || 10092 || biopep_ace_000648,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10092,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || AHTPDB: ID 4061 BindingDB: ID 50169151 BioPepDB: ID biopep00845 BIOPEP-UWM database of bioactive peptides: ID 3180 BIOPEP-UWM database of sensory peptides and amino acids: ID 528 BRENDA: Ligand Leu-Pro ChEBI: ID 73580 ChEMBL: ID CHEMBL189210 ChemIDplus: ID 006403356 ChemSpider: ID 72971 EPA CompTox: ID DTXSID30214012 EPA DSSTox: ID DTXCID30136503 EROP-Moscow: ID E02539 FeptideDB: ID 3180 J-GLOBAL: ID 200907029039792069 Nikkaji: ID J151.043F PubChem: ID 11893568 SATPdb: ID satpdb26580 SureChEMBL: ID SCHEMBL3052903 ZINC: ID ZINC04556774
LR,2,merged_backbone,main,merged_sequence_level_authoritative,True,True,158.0,158.0,158.0,158.0,1.0,2,2,2,,,,merged_short23_tiered_standardized || biopep_core_standardized,False,False,Tier C,ace_merged_000425 || 9213 || biopep_ace_000459,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9213,"only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || BIOPEP-UWM database of bioactive peptides: ID 2842, 9478, 10360 BRENDA: Ligand Leu-Arg ChEBI: ID 73528 ChemIDplus: ID 026607158 ChemSpider: ID 134773 EROP-Moscow: ID E01608 PubChem: CID 152914 ZINC: ID ZINC02124468"
