sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,sample_weight,weight_len,weight_quality,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,source_table_set,source_file_set,origin_source_set,raw_record_ids,citation_ids,notes,row_count_after_filter
DAGP,4,aux,False,True,162.3,3.789681480173768,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,162.3,162.3,162.3,162.3,1.0,,,,biopep_core_standardized,biopep_ace_000419 || 9150,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9150,BIOPEP-UWM,1
DERF,4,aux,False,True,37.08,4.43086027452754,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,37.08,37.08,37.08,37.08,1.0,,,,mbpdb_core_standardized,mbpdb_ace_000059 || MBPDB_P02668_DERF_35-38,10.1016/j.foodchem.2010.05.026,"Production, analysis and in vivo evaluation of novel angiotensin-I-converting enzyme inhibitory peptides from bovine casein || Bos taurus || Kappa-casein",1
DIGP,4,aux,False,True,194.2,3.711750774428014,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,194.2,194.2,194.2,194.2,1.0,,,,biopep_core_standardized,biopep_ace_000418 || 9149,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9149,BIOPEP-UWM,1
DLGP,4,aux,False,True,149.0,3.826813731587726,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,149.0,149.0,149.0,149.0,1.0,,,,biopep_core_standardized,biopep_ace_000416 || 9147,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9147,BIOPEP-UWM,1
EKGP,4,aux,False,True,129.9,3.8863908489269723,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,129.9,129.9,129.9,129.9,1.0,,,,biopep_core_standardized,biopep_ace_000426 || 9157,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9157,BIOPEP-UWM,1
EQGP,4,aux,False,True,139.9,3.8541822855081724,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,139.9,139.9,139.9,139.9,1.0,,,,biopep_core_standardized,biopep_ace_000424 || 9155,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9155,BIOPEP-UWM,1
ERVL,4,aux,False,True,200.3,3.6983190507064236,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,200.3,200.3,200.3,200.3,1.0,,,,ahtpdb_clean_um_standardized,1340,,small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC,1
EVPK,4,aux,False,True,1.73,5.761953896871205,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,1.73,1.73,1.73,1.73,1.0,,,,ahtpdb_clean_um_standardized,1241,Sweet-potato tuber thioredoxinh,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || Ni2+-chelate AC",1
FLCT,4,aux,False,True,6.53,5.185086818724926,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,6.53,6.53,6.53,6.53,1.0,,,,biopep_core_standardized,biopep_ace_000660 || 10140,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10140,BIOPEP-UWM,1
FLQP,4,aux,False,True,68.7,4.16304326294045,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,68.7,68.7,68.7,68.7,1.0,,,,mbpdb_core_standardized,mbpdb_ace_000109 || MBPDB_P02666_FLQP_102-105,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Beta-casein,1
FPQY,4,aux,False,True,300.72,3.521837687294244,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,2,False,False,,300.7,300.74,300.72,300.72,1.0001330229464582,,,,biopep_core_standardized || mbpdb_core_standardized,biopep_ace_000492 || 9283 || mbpdb_ace_000264 || MBPDB_P02663_FPQY_107-110,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9283 || 10.1016/j.idairyj.2013.05.008,BIOPEP-UWM || Resistance of casein-derived bioactive peptides to simulated gastrointestinal digestion || Bos taurus || Alpha-S2-casein,2
FRVW,4,aux,False,True,18.34,4.736600668665998,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,18.34,18.34,18.34,18.34,1.0,,,,biopep_core_standardized,biopep_ace_000655 || 10122,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10122,BIOPEP-UWM,1
FSWF,4,aux,False,True,121.2,3.9164973801697327,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,121.2,121.2,121.2,121.2,1.0,,,,biopep_core_standardized,biopep_ace_000717 || 10573,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10573,BIOPEP-UWM,1
FVAP,4,aux,False,True,10.0,5.0,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,3,False,False,,10.0,10.0,10.0,10.0,1.0,,,,ahtpdb_clean_um_standardized,5279 || 5848 || 6509,Milk (bovine casein) || Casein,small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971),3
FYQQ,4,aux,False,True,25.0,4.6020599913279625,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,2,False,False,,25.0,25.0,25.0,25.0,1.0,,,,ahtpdb_clean_um_standardized,5280 || 5789,Cereals (Maize (Zea mays)),small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC,2
GAGP,4,aux,False,True,98.82,4.005155150446602,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,98.82,98.82,98.82,98.82,1.0,,,,biopep_core_standardized,biopep_ace_000413 || 9144,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9144,BIOPEP-UWM,1
GDAP,4,aux,False,True,22.5,4.647817481888637,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,5,False,False,,22.5,22.5,22.5,22.5,1.0,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000106 || 3474 || 1054 || 5281 || 5723 || 6399,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3474 || Cuttlefish (Muscle of cuttlefish) || Cuttlefish (Sepia officinalis) || Cuttlefish muscle (Sepia officinalis),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Nakamura et al. (1995) || RP-HPLC || Cushman and Cheung (1971) || GFC, RP-HPLC",5
GFHI,4,aux,False,True,135.306553911,3.8686811667545826,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,135.306553911,135.306553911,135.306553911,135.306553911,1.0,,,,ahtpdb_clean_um_standardized,5652,Beef (Biceps femoris),small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Cushman and Cheung (1971),1
GLFF,4,aux,False,True,310.0,3.5086383061657274,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,310.0,310.0,310.0,310.0,1.0,,,,biopep_core_standardized,biopep_ace_000745 || 10780,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10780,BIOPEP-UWM,1
GPAM,4,aux,False,True,3.47166586551,5.459462080658065,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,3.47166586551,3.47166586551,3.47166586551,3.47166586551,1.0,,,,ahtpdb_clean_um_standardized,3682,"Fish (Pangasius catfish skin, bone)","small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Wu J et al., 2002 || UF",1
GPAV,4,aux,False,True,415.91,3.3810006374792394,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,415.91,415.91,415.91,415.91,1.0,,,,biopep_core_standardized,biopep_ace_000788 || 11042,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=11042,BIOPEP-UWM,1
GPPP,4,aux,False,True,1856.223897715,2.731369640359881,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,2,False,False,,0.86,3711.58779543,1856.223897715,1856.223897715,4315.799762127907,,,,ahtpdb_clean_um_standardized,2914 || 3684,Fish muscle proteins || Fish (Catfish sarcoplasmic protein),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Shalaby et al. (2006) || UF, GF, RP-HPLC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM",2
GVGY,4,aux,False,True,35.0,4.455931955649724,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,35.0,35.0,35.0,35.0,1.0,,,,ahtpdb_clean_um_standardized,4249,Silkworm fibroin,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC, LC/MS/MS",1
GVLY,4,aux,False,True,16.0,4.795880017344075,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,16.0,16.0,16.0,16.0,1.0,,,,biopep_core_standardized,biopep_ace_000495 || 9325,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9325,BIOPEP-UWM,1
GWAP,4,aux,False,True,3.86,5.413412695328245,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,6,False,False,,3.86,3.86,3.86,3.86,1.0,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000076 || 3382 || 1104 || 4633 || 5282 || 6183 || 6366,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3382 || Fish (Sardine) || Fish (Sardine muscle) || Fish (Sardine (Sardina pilchardus muscle)),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || 2,4,6-trinitrobenzene sulfonate(TNBS) method || RP-GPC, HPLC || GPC, HPLC || Cushman and Cheung (1971) || RP-HPLC",6
HDHM,4,aux,False,True,276.2,3.5587763257573877,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,276.2,276.2,276.2,276.2,1.0,,,,ahtpdb_clean_um_standardized,1245,Sweet-potato tuber trypsin inhibitor,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",1
IAEK,4,aux,False,True,25.08,4.600672467841321,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,25.08,25.08,25.08,25.08,1.0,,,,mbpdb_core_standardized,mbpdb_ace_000355 || MBPDB_P02754_IAEK_88-91,10.1021/acs.jafc.9b06237,Structure-Based Identification and Design of Angiotensin Converting Enzyme-Inhibitory Peptides from Whey Proteins || Bos taurus || Beta-lactoglobulin,1
IAIP,4,aux,False,True,470.0,3.3279021420642825,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,4,False,False,,470.0,470.0,470.0,470.0,1.0,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,mbpdb_ace_000056 || MBPDB_P07498_IAIP_118-121 || 5283 || 6045 || 6653,10.1080/00021369.1989.10869621 || Milk (human casein),Inhibition of angiotensin-converting enzyme by synthetic peptide fragments of human kappa-casein || Homo sapiens || Kappa-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),4
IAPG,4,aux,False,True,11.4,4.943095148663527,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,3,False,False,,11.4,11.4,11.4,11.4,1.0,,,,ahtpdb_clean_um_standardized,1037 || 1869 || 6725,Algae (Spirulina platensis),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC, HPLC",3
IEKP,4,aux,False,True,4.32472507105,5.364041496042182,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,4.32472507105,4.32472507105,4.32472507105,4.32472507105,1.0,,,,ahtpdb_clean_um_standardized,3685,Fish (Catfish myofibrillar protein),"small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Shalaby et al. (2006) || UF, GF, RP-HPLC",1
IHPF,4,aux,False,True,11.6,4.935542010773082,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,11.6,11.6,11.6,11.6,1.0,,,,ahtpdb_clean_um_standardized,6885,Human plasma,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Fluorometric HPLC method || UF, HPLC",1
ITRY,4,aux,False,True,236.9,3.625434939277235,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,236.9,236.9,236.9,236.9,1.0,,,,ahtpdb_clean_um_standardized,2753,Antarctic krill (Euphausia superba),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Holmquist et al. (1979) || SEC, UPLC-ESI-MS",1
IVVE,4,aux,False,True,315.3,3.5012760292520952,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,3,False,False,,315.3,315.3,315.3,315.3,1.0,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000053 || 3260 || 1030 || 1861,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3260 || Algae (Chlorella vulgaris),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC, HPLC",3
IYLL,4,aux,False,True,42.0,4.376750709602099,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,3,False,False,,42.0,42.0,42.0,42.0,1.0,,,,ahtpdb_clean_um_standardized,1846 || 2669 || 6547,Soybean || Soybean (Soy bioactive),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC || IEC, GF, HPLC",3
IYPR,4,aux,False,True,10.0,5.0,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,2,False,False,,10.0,10.0,10.0,10.0,1.0,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000128 || 3540 || 6457,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3540 || Sake and sake lees,BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit,2
KFAR,4,aux,False,True,32.4376199616,4.4889510186860155,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,32.4376199616,32.4376199616,32.4376199616,32.4376199616,1.0,,,,ahtpdb_clean_um_standardized,6102,Legume (Peanut (Arachis hypogaea)),"small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || RP-HPLC, UF",1
KFYG,4,aux,False,True,90.5,4.043351420794797,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,7,False,False,,90.5,90.5,90.5,90.5,1.0,,,,ahtpdb_clean_um_standardized,1028 || 1852 || 2661 || 2908 || 5284 || 6275 || 6681,Wakame (Undaria pinnatifida) || Wakame || Seaweed Wakame,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC || IEC, GFC, RP-HPLC || RP-HPLC, FAB-MS || GFC, IEC, RP-HPLC",7
KIEL,4,aux,False,True,849.7,3.0707343817469344,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,849.7,849.7,849.7,849.7,1.0,,,,ahtpdb_clean_um_standardized,1254,Sweet-potato tuber trypsin inhibitor,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",1
KLRP,4,aux,False,True,91.6,4.03810452633215,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,91.6,91.6,91.6,91.6,1.0,,,,mbpdb_core_standardized,mbpdb_ace_000021 || MBPDB_P24627_KLRP_92-95,10.1021/jf4053868,Novel Antihypertensive Lactoferrin-Derived Peptides Produced by Kluyveromyces marxianus: Gastrointestinal Stability Profile and In Vivo Angiotensin I-Converting Enzyme (ACE) Inhibition || Bos taurus || Lactotransferrin,1
KTAP,4,aux,False,True,37.0,4.431798275933005,0.48,0.6,0.8,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,2,3,False,False,,37.0,37.0,37.0,37.0,1.0,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,mbpdb_ace_000053 || MBPDB_P07498_KTAP_41-44 || 5285 || 6032,10.1080/00021369.1989.10869621 || Milk (human casein),Inhibition of angiotensin-converting enzyme by synthetic peptide fragments of human kappa-casein || Homo sapiens || Kappa-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),3
KWLP,4,aux,False,True,5.0,5.301029995663981,0.42,0.6,0.7,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,1,1,False,False,,5.0,5.0,5.0,5.0,1.0,,,,ahtpdb_clean_um_standardized,2843,Synthesized,small || exact_molar_value || not_converted: ic50_type不是mass_unit,1
